A,B,"C1(A,B)","C2(A,B)","C3(A,B)","C4(A,B)","C5(A,B)","C6(A,B)","C7(A,B)","C8(A,B)","C9(A,B)","C10(A,B)"
b.txt,b.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
b.txt,c.txt,0.32075471698113206,0.030303030303030304,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b.txt,f.txt,0.5909090909090909,0.3225806451612903,0.2127659574468085,0.16483516483516483,0.12790697674418605,0.09876543209876543,0.06578947368421052,0.028169014084507043,0.015151515151515152,0.0
b.txt,g.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
b.txt,h.txt,0.3584905660377358,0.09375,0.06451612903225806,0.05172413793103448,0.037037037037037035,0.02,0.0,0.0,0.0,0.0
b.txt,k.txt,0.3888888888888889,0.11940298507462686,0.030303030303030304,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0
b.txt,p.txt,0.46,0.15853658536585366,0.08235294117647059,0.04878048780487805,0.038461538461538464,0.02702702702702703,0.014285714285714285,0.0,0.0,0.0
b.txt,y.txt,0.38461538461538464,0.10144927536231885,0.028169014084507043,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0
b.txt,z.txt,0.4,0.17543859649122806,0.09259259259259259,0.0784313725490196,0.0625,0.044444444444444446,0.023809523809523808,0.0,0.0,0.0
c.txt,b.txt,0.2982456140350877,0.022988505747126436,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c.txt,c.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
c.txt,f.txt,0.21212121212121213,0.021505376344086023,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c.txt,g.txt,0.2982456140350877,0.022988505747126436,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c.txt,h.txt,0.33962264150943394,0.078125,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c.txt,k.txt,0.3888888888888889,0.08955223880597014,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c.txt,p.txt,0.36,0.07317073170731707,0.023529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c.txt,y.txt,0.3076923076923077,0.07246376811594203,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c.txt,z.txt,0.37777777777777777,0.03508771929824561,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f.txt,b.txt,0.6842105263157895,0.3448275862068966,0.23255813953488372,0.17857142857142858,0.13580246913580246,0.10526315789473684,0.07042253521126761,0.03076923076923077,0.01694915254237288,0.0
f.txt,c.txt,0.2641509433962264,0.030303030303030304,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f.txt,f.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f.txt,g.txt,0.6842105263157895,0.3448275862068966,0.23255813953488372,0.17857142857142858,0.13580246913580246,0.10526315789473684,0.07042253521126761,0.03076923076923077,0.01694915254237288,0.0
f.txt,h.txt,0.39622641509433965,0.09375,0.06451612903225806,0.05172413793103448,0.037037037037037035,0.02,0.0,0.0,0.0,0.0
f.txt,k.txt,0.3148148148148148,0.07462686567164178,0.030303030303030304,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0
f.txt,p.txt,0.52,0.24390243902439024,0.2,0.17073170731707318,0.15384615384615385,0.13513513513513514,0.12857142857142856,0.12121212121212122,0.11290322580645161,0.10344827586206896
f.txt,y.txt,0.34615384615384615,0.08695652173913043,0.028169014084507043,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0
f.txt,z.txt,0.35555555555555557,0.19298245614035087,0.12962962962962962,0.09803921568627451,0.08333333333333333,0.06666666666666667,0.047619047619047616,0.02564102564102564,0.0,0.0
g.txt,b.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
g.txt,c.txt,0.32075471698113206,0.030303030303030304,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g.txt,f.txt,0.5909090909090909,0.3225806451612903,0.2127659574468085,0.16483516483516483,0.12790697674418605,0.09876543209876543,0.06578947368421052,0.028169014084507043,0.015151515151515152,0.0
g.txt,g.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
g.txt,h.txt,0.3584905660377358,0.09375,0.06451612903225806,0.05172413793103448,0.037037037037037035,0.02,0.0,0.0,0.0,0.0
g.txt,k.txt,0.3888888888888889,0.11940298507462686,0.030303030303030304,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0
g.txt,p.txt,0.46,0.15853658536585366,0.08235294117647059,0.04878048780487805,0.038461538461538464,0.02702702702702703,0.014285714285714285,0.0,0.0,0.0
g.txt,y.txt,0.38461538461538464,0.10144927536231885,0.028169014084507043,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0
g.txt,z.txt,0.4,0.17543859649122806,0.09259259259259259,0.0784313725490196,0.0625,0.044444444444444446,0.023809523809523808,0.0,0.0,0.0
h.txt,b.txt,0.3333333333333333,0.06896551724137931,0.046511627906976744,0.03571428571428571,0.024691358024691357,0.013157894736842105,0.0,0.0,0.0,0.0
h.txt,c.txt,0.33962264150943394,0.07575757575757576,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h.txt,f.txt,0.3181818181818182,0.06451612903225806,0.0425531914893617,0.03296703296703297,0.023255813953488372,0.012345679012345678,0.0,0.0,0.0,0.0
h.txt,g.txt,0.3333333333333333,0.06896551724137931,0.046511627906976744,0.03571428571428571,0.024691358024691357,0.013157894736842105,0.0,0.0,0.0,0.0
h.txt,h.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h.txt,k.txt,0.35185185185185186,0.05970149253731343,0.030303030303030304,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0
h.txt,p.txt,0.32,0.08536585365853659,0.047058823529411764,0.036585365853658534,0.02564102564102564,0.013513513513513514,0.0,0.0,0.0,0.0
h.txt,y.txt,0.5961538461538461,0.43478260869565216,0.323943661971831,0.23529411764705882,0.15384615384615385,0.0967741935483871,0.06779661016949153,0.03571428571428571,0.0,0.0
h.txt,z.txt,0.35555555555555557,0.08771929824561403,0.07407407407407407,0.058823529411764705,0.041666666666666664,0.022222222222222223,0.0,0.0,0.0,0.0
k.txt,b.txt,0.3684210526315789,0.09195402298850575,0.023255813953488372,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.0
k.txt,c.txt,0.39622641509433965,0.09090909090909091,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k.txt,f.txt,0.25757575757575757,0.053763440860215055,0.02127659574468085,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.0
k.txt,g.txt,0.3684210526315789,0.09195402298850575,0.023255813953488372,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.0
k.txt,h.txt,0.3584905660377358,0.0625,0.03225806451612903,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0
k.txt,k.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
k.txt,p.txt,0.36,0.06097560975609756,0.023529411764705882,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.0
k.txt,y.txt,0.28846153846153844,0.043478260869565216,0.028169014084507043,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0
k.txt,z.txt,0.4888888888888889,0.17543859649122806,0.12962962962962962,0.09803921568627451,0.0625,0.044444444444444446,0.023809523809523808,0.0,0.0,0.0
p.txt,b.txt,0.40350877192982454,0.14942528735632185,0.08139534883720931,0.047619047619047616,0.037037037037037035,0.02631578947368421,0.014084507042253521,0.0,0.0,0.0
p.txt,c.txt,0.33962264150943394,0.09090909090909091,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p.txt,f.txt,0.3939393939393939,0.21505376344086022,0.18085106382978725,0.15384615384615385,0.13953488372093023,0.12345679012345678,0.11842105263157894,0.11267605633802817,0.10606060606060606,0.09836065573770492
p.txt,g.txt,0.40350877192982454,0.14942528735632185,0.08139534883720931,0.047619047619047616,0.037037037037037035,0.02631578947368421,0.014084507042253521,0.0,0.0,0.0
p.txt,h.txt,0.3018867924528302,0.109375,0.06451612903225806,0.05172413793103448,0.037037037037037035,0.02,0.0,0.0,0.0,0.0
p.txt,k.txt,0.3333333333333333,0.07462686567164178,0.030303030303030304,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0
p.txt,p.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
p.txt,y.txt,0.3269230769230769,0.11594202898550725,0.04225352112676056,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0
p.txt,z.txt,0.4222222222222222,0.19298245614035087,0.1111111111111111,0.09803921568627451,0.08333333333333333,0.06666666666666667,0.047619047619047616,0.02564102564102564,0.0,0.0
y.txt,b.txt,0.3508771929824561,0.08045977011494253,0.023255813953488372,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.0
y.txt,c.txt,0.3018867924528302,0.07575757575757576,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y.txt,f.txt,0.2727272727272727,0.06451612903225806,0.02127659574468085,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.0
y.txt,g.txt,0.3508771929824561,0.08045977011494253,0.023255813953488372,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.0
y.txt,h.txt,0.5849056603773585,0.46875,0.3709677419354839,0.27586206896551724,0.18518518518518517,0.12,0.08695652173913043,0.047619047619047616,0.0,0.0
y.txt,k.txt,0.2777777777777778,0.04477611940298507,0.030303030303030304,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0
y.txt,p.txt,0.34,0.0975609756097561,0.03529411764705882,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.0
y.txt,y.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
y.txt,z.txt,0.3333333333333333,0.10526315789473684,0.037037037037037035,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0
z.txt,b.txt,0.3157894736842105,0.11494252873563218,0.05813953488372093,0.047619047619047616,0.037037037037037035,0.02631578947368421,0.014084507042253521,0.0,0.0,0.0
z.txt,c.txt,0.32075471698113206,0.030303030303030304,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z.txt,f.txt,0.24242424242424243,0.11827956989247312,0.07446808510638298,0.054945054945054944,0.046511627906976744,0.037037037037037035,0.02631578947368421,0.014084507042253521,0.0,0.0
z.txt,g.txt,0.3157894736842105,0.11494252873563218,0.05813953488372093,0.047619047619047616,0.037037037037037035,0.02631578947368421,0.014084507042253521,0.0,0.0,0.0
z.txt,h.txt,0.3018867924528302,0.078125,0.06451612903225806,0.05172413793103448,0.037037037037037035,0.02,0.0,0.0,0.0,0.0
z.txt,k.txt,0.4074074074074074,0.14925373134328357,0.10606060606060606,0.08064516129032258,0.05172413793103448,0.037037037037037035,0.02040816326530612,0.0,0.0,0.0
z.txt,p.txt,0.38,0.13414634146341464,0.07058823529411765,0.06097560975609756,0.05128205128205128,0.04054054054054054,0.02857142857142857,0.015151515151515152,0.0,0.0
z.txt,y.txt,0.28846153846153844,0.08695652173913043,0.028169014084507043,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0
z.txt,z.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
